name,vallab,varlab
pid,pid,个人ID
fid22,fid22,2022年家庭样本编码
fid20,fid20,2020年家庭样本编码
fid18,fid18,2018年家庭样本编码
fid16,fid16,2016年家庭样本编码
fid14,fid14,2014年家庭样本编码
fid12,fid12,2012年家庭样本编码
fid10,fid10,2010年家庭样本编码
fid_base,fid_base,基线家庭样本编码
age,age,年龄
gender,gender,受访者性别
pid_a_f,pid_a_f,父亲在调查中的样本编码
pid_a_m,pid_a_m,母亲在调查中的样本编码
selfrpt,selfrpt,有无自答问卷
proxyrpt,proxyrpt,有无代答问卷
proxy_iwmode,proxy_iwmode,代答问卷模式
self_iwmode,self_iwmode,自答问卷模式
interrupt,interrupt,中断样本
proxytype,,代答样本
subsample,subsample,是否在全国再抽样样本中
subpopulation,subpopulation,抽样子总体
psu,psu,基线家庭初级抽样单位
rswt_natcs22n,rswt_natcs22n,CFPS2022个人横截面权数（标准化）-无回答权数
rswt_natpn1022n,rswt_natpn1022n,CFPS2022个人面板权数（标准化）-无回答权数
provcd22,provcd22,2022年省国标码
countyid22,countyid22,区县顺序码
cid22,cid22,村居编码
urban22,urban22,基于国家统计局资料的城乡分类
respc1pid,,代答人样本编码（代答）
tb6_a22_p,tb6_a22_p,个人是否居住在家
outunit22,outunit22,外出单元序号
iinterv,iinterv,加载变量：个人自答长卷完访情况（1=完访，缺失代表从未接受访问或初访）
iintervy,iintervy,加载变量：最近一次调查个人自答长卷完访年
gene,gene,加载变量：是否属于基因成员
ibirthy,ibirthy,加载变量：出生年份
gender_pre,gender_pre,加载变量：受访者性别
minzu,minzu,加载变量：民族数据是否有数据
birthw,birthw,加载变量：出生时体重是否有数据
huk,huk,加载变量：最近一轮调查户口地址（1=有；缺失代表无数据）
birthp,birthp,加载变量：出生时家庭住址
a12p,a12p,加载变量：12岁时家庭住址
a12hk,a12hk,加载变量：12岁时户口
military,military,加载变量：是否是退伍军人（1=是退伍军人；缺失代表无数据或非退伍军人）
edu_last,edu_last,加载变量：最近一次调查最高学历
r1_last,r1_last,加载变量：最近一次调查上学阶段
respscale_times,respscale_times,加载变量：责任感量表回答次数（缺失代表从未回答过）
train,train,加载变量：是否乘坐过火车
plane,plane,加载变量：是否乘坐过飞机
marriage_last,marriage_last,加载变量：最近一次访问婚姻状态
retire,retire,加载变量：是否已退休
pension,pension,加载变量：是否已经办理养老金领取手续（1=是，缺失代表无数据或未办理）。
firstj_last,firstj_last,加载变量：是否采集第一份工作信息
child16n,child16n,加载变量：访问当年家庭中16岁以下子女的数量（从成员问卷加载，如没有加载0）
mother_dead,mother_dead,加载变量：最近一次调查母亲已去世
father_dead,father_dead,加载变量：最近一次调查父亲已去世
znjz2020,znjz2020,加载变量：2020年回答子女价值量表（1=是，缺失代表2020没有回答）
party,party,加载变量：是否是共产党员（1=是，缺失代表不是或无数据）
hand,hand,加载变量：2020年P103题习惯用手是否已回答
smokeage,smokeage,加载变量：开始吸烟的年龄
fml_count,fml_count,加载变量：家庭成员人数
wordlist,wordlist,加载变量：最近一次完成的字词测试题组编号（缺失代表从未完成过）
mathlist,mathlist,加载变量：最近一次完成的数学测试题组编号（缺失代表从未完成过）
ses14,ses14,加载变量：是否已采集14岁时父母的信息（1=是，缺失代表代表没有数据）
cyear,cyear,访问年份
cmonth,cmonth,访问月份
qa001y,qa001y,出生日期（年）
qa001m,qa001m,出生日期（月）
qa001b,qa001b,年龄
ibirthy_update,ibirthy_update,出生年份更新
qa002,qa002,受访者性别
qa301,qa301,现在的户口状况
qa3020,qa3020,户口所在地变化
qa302,qa302,现在的户口所在地
qa303y,qa303y,离开户口所在地年份（年）
qa303m,qa303m,离开户口所在地月份（月）
qa401,qa401,出生时家庭地址
qa601,qa601,12岁时居住地是否与出生地相同
qa602,qa602,12岁时居住地
qa603,qa603,12岁时户口状况
qa9,qa9,是否是退伍军人
qa901,qa901,参军开始时间（年）
