variable,varlabel,N,mean,sd,min,p1,p5,p10,p25,p50,p75,p90,p95,p99,max,skewness,kurtosis
pid,个人ID,27001,390134624,182931856,100051504,120097400,130568104,140244656,230409104,410845088,510506112,620498112,621233088,621866112,6759191552,7.6849203,243.36652
fid22,2022年家庭样本编码,27001,408113.53,292808.75,100051,111999,130506,140329,230265,410978,528822,620968,624880,746302,6769401,12.442464,243.90958
fid20,2020年家庭样本编码,27001,395777.13,285932.72,-8,-8,130228,140052,220171,410786,520209,620787,621646,740544,6929111,12.387651,254.87221
fid18,2018年家庭样本编码,27001,384226.16,275467.13,-8,-8,130012,130880,211917,410470,510661,620641,621492,748017,6817001,11.784722,247.22322
fid16,2016年家庭样本编码,27001,361911.59,184381.98,-8,-8,110114,130579,211384,370793,510037,620445,621233,717797,2845311,.59458554,8.7101421
fid14,2014年家庭样本编码,27001,360753.13,186938.55,-8,-8,-8,130333,211386,410190,510107,620460,621238,715812,2781941,.17578739,5.2831936
fid12,2012年家庭样本编码,27001,355884.31,191427.66,-8,-8,-8,120058,211190,410241,510106,620451,621233,701221,997793,-.18617187,2.4975674
fid10,2010年家庭样本编码,27001,331385.88,196309.2,-8,-8,-8,-8,140756,370404,450199,620227,620986,621665,621872,-.28612053,2.0013752
fid_base,基线家庭样本编码,27001,386899.97,154164.16,110006,120110,130571,140220,230421,410841,510392,620445,621100,621698,621872,-.16133179,2.0523906
age,年龄,27001,44.845081,19.777109,9,10,13,18,30,45,60,71,77,86,101,.10054846,2.0934606
gender,受访者性别,27001,.50020367,.50000924,0,0,0,0,0,1,1,1,1,1,1,-.00081478473,1.0000007
pid_a_f,父亲在调查中的样本编码,27001,330889824,203091248,-8,-8,-8,-8,140726208,370320192,450183104,620201088,621001088,621741184,5372111360,1.0182998,30.723623
pid_a_m,母亲在调查中的样本编码,27001,325245216,204118960,-8,-8,-8,-8,140444096,370187104,450104096,620159232,620981184,621700096,5372111360,.58094794,18.390682
selfrpt,有无自答问卷,27001,.87644905,.32907468,0,0,0,0,1,1,1,1,1,1,1,-2.287967,6.2347927
proxyrpt,有无代答问卷,27001,.12355098,.32907468,0,0,0,0,0,0,0,1,1,1,1,2.287967,6.2347927
proxy_iwmode,代答问卷模式,3336,1.9403477,.23687698,1,1,1,2,2,2,2,2,2,2,2,-3.7185018,14.827255
self_iwmode,自答问卷模式,23665,1.9642087,.18577324,1,1,2,2,2,2,2,2,2,2,2,-4.9976902,25.976908
interrupt,中断样本,558,1,0,1,1,1,1,1,1,1,1,1,1,1,,
proxytype,代答样本,3336,1.3447242,.47534952,1,1,1,1,1,1,2,2,2,2,2,.65340996,1.4269446
subsample,是否在全国再抽样样本中,27001,.68708569,.46368837,0,0,0,0,0,1,1,1,1,1,1,-.80696058,1.6511854
subpopulation,抽样子总体,27001,4.7400837,1.570019,1,1,2,2,3,6,6,6,6,6,6,-.85756958,2.3926923
psu,基线家庭初级抽样单位,27001,86.875336,53.904099,1,2,9,16,40,74,137,158,169,175,176,.069382429,1.590631
rswt_natcs22n,CFPS2022个人横截面权数（标准化）-无回答,24090,1.0210373,1.1373054,.0093198856,.053665761,.091167726,.1249386,.37841278,.81258261,1.333218,2.0072029,2.6309221,4.9304876,61.829376,12.322636,470.56934
rswt_natpn1022n,CFPS2022个人面板权数（标准化）-无回答权,18780,1.0009342,1.0319016,.0089845415,.052080337,.08893501,.12340029,.3703354,.7865212,1.3075985,2.00981,2.6762881,4.8169804,38.463795,6.0749388,126.40264
provcd22,2022年省国标码,27001,38.295803,15.440076,-9,11,13,14,23,41,51,62,62,62,65,-.15459953,2.1045911
countyid22,区县顺序码,27001,755.56201,1890.415,-9,2,12,20,48,107,154,2149,5830,8467,9992,3.3237064,13.421658
cid22,村居编码,27001,351613.81,320842.78,-9,-9,-9,-9,118200,214800,707401,877490,930619,989995,999838,.79173243,2.0402737
urban22,基于国家统计局资料的城乡分类,27001,.39294842,1.1797805,-9,-9,0,0,0,1,1,1,1,1,1,-6.4157419,51.532516
respc1pid,代答人样本编码（代答）,3336,361537152,192656400,-8,77,77,77,211791104,410931104,510359104,620286080,620943104,621662080,1796152704,-.25064611,4.0351057
tb6_a22_p,个人是否居住在家,27001,.93563199,.24541186,0,0,0,1,1,1,1,1,1,1,1,-3.5502775,13.604469
outunit22,外出单元序号,27001,-7.4636493,2.1695073,-8,-8,-8,-8,-8,-8,-8,-8,1,2,6,3.8205874,15.712859
iinterv,加载变量：个人自答长卷完访情况（1=完访，缺失代,25851,.34756875,2.3337579,-8,-8,-8,1,1,1,1,1,1,1,1,-3.29738,11.872715
iintervy,加载变量：最近一次调查个人自答长卷完访年,25851,1872.2208,525.66199,-8,-8,-8,2014,2018,2020,2020,2020,2020,2020,2020,-3.2973282,11.872506
gene,加载变量：是否属于基因成员,27001,.8921892,.31014708,0,0,0,0,1,1,1,1,1,1,1,-2.5290997,7.3963451
ibirthy,加载变量：出生年份,25851,1897.4893,389.04559,-8,-8,1936,1947,1959,1975,1991,2004,2009,2012,2012,-4.6811686,22.977514
gender_pre,加载变量：受访者性别,25851,.49862674,.50278533,-8,0,0,0,0,0,1,1,1,1,1,-.18078089,4.1361475
minzu,加载变量：民族数据是否有数据,27001,.62134737,1.806825,-8,-8,1,1,1,1,1,1,1,1,1,-4.5620618,21.812407
birthw,加载变量：出生时体重是否有数据,25851,.088197745,2.7157176,-8,-8,-8,-8,1,1,1,1,1,1,1,-2.6425922,7.9832935
huk,加载变量：最近一轮调查户口地址（1=有；缺失代表,25851,.61216199,1.8276359,-8,-8,1,1,1,1,1,1,1,1,1,-4.5000668,21.250599
birthp,加载变量：出生时家庭住址,25851,.086457007,2.7180161,-8,-8,-8,-8,1,1,1,1,1,1,1,-2.6390765,7.964725
a12p,加载变量：12岁时家庭住址,25851,-.5792039,3.4233615,-8,-8,-8,-8,1,1,1,1,1,1,1,-1.7064238,3.9118819
a12hk,加载变量：12岁时户口,25851,-.5792039,3.4233615,-8,-8,-8,-8,1,1,1,1,1,1,1,-1.7064238,3.9118819
military,加载变量：是否是退伍军人（1=是退伍军人；缺失代,25851,-7.761518,1.4455261,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,5.8962622,35.765907
edu_last,加载变量：最近一次调查最高学历,25851,3.0304823,2.6194923,-8,-8,0,0,0,4,5,6,7,7,9,-1.3527164,6.6672502
r1_last,加载变量：最近一次调查上学阶段,25851,-1.9255348,6.2289572,-8,-8,-8,-8,-8,-8,4,5,6,7,9,.093311295,1.1000286
respscale_times,加载变量：责任感量表回答次数（缺失代表从未回答过,25851,-6.0047965,4.0517993,-8,-8,-8,-8,-8,-8,-8,2,3,4,5,1.5786325,3.5979688
train,加载变量：是否乘坐过火车,25851,-4.0847163,4.4619365,-8,-8,-8,-8,-8,-8,1,1,1,1,1,.26209587,1.0686942
plane,加载变量：是否乘坐过飞机,25851,-7.4133687,2.2216513,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,3.5230052,13.411566
